"J","FPU","LND","RIQFPU","Val"
"jbarl","FNP_FNP","arf","YLD",3.34816016804538
"jbarl","GAN_BGD","air","QS",0.0624440232293568
"jbarl","GAN_BGD","air","ARA",0.0684244428725995
"jbarl","GAN_BGD","air","YLD",0.912598197483642
"jbarl","GAN_BGD","arf","QS",0.000245113151060797
"jbarl","GAN_BGD","arf","ARA",0.000268577564846086
"jbarl","GAN_BGD","arf","YLD",0.912634497975528
"jbarl","GAN_CHM","air","QS",3.23229593339218
"jbarl","GAN_CHM","air","ARA",0.804341040971199
"jbarl","GAN_CHM","air","YLD",4.01856397814707
"jbarl","GAN_CHM","arf","QS",26.2097987775346
"jbarl","GAN_CHM","arf","ARA",7.13966392378903
"jbarl","GAN_CHM","arf","YLD",3.67101295765543
"jbarl","GAN_IND","air","QS",678.283269779163
"jbarl","GAN_IND","air","ARA",225.567501590724
"jbarl","GAN_IND","air","YLD",3.00700794660508
"jbarl","GAN_IND","arf","QS",246.335903267125
"jbarl","GAN_IND","arf","ARA",116.030194654817
"jbarl","GAN_IND","arf","YLD",2.12303275022471
"jbarl","GAN_NPL","air","QS",0.0472311150630617
"jbarl","GAN_NPL","air","ARA",0.035341608207226
"jbarl","GAN_NPL","air","YLD",1.33641669009858
"jbarl","GAN_NPL","arf","QS",30.8646610937593
"jbarl","GAN_NPL","arf","ARA",23.0979915979695
"jbarl","GAN_NPL","arf","YLD",1.336248693435
"jbarl","GBA_USA","air","QS",82.2471184409178
"jbarl","GBA_USA","air","ARA",17.9198498771286
"jbarl","GBA_USA","air","YLD",4.58972139860898
"jbarl","GBA_USA","arf","QS",45.0774396721143
"jbarl","GBA_USA","arf","ARA",14.204710858852
"jbarl","GBA_USA","arf","YLD",3.17341480020505
"jbarl","GEO_GEO","air","QS",41.3430611106195
"jbarl","GEO_GEO","air","ARA",17.3471778021123
"jbarl","GEO_GEO","air","YLD",2.38327303623909
"jbarl","GEO_GEO","arf","QS",12.7569476587402
"jbarl","GEO_GEO","arf","ARA",8.25282194357458
"jbarl","GEO_GEO","arf","YLD",1.54576795015823
"jbarl","GLA_CAN","air","QS",15.1961091259081
"jbarl","GLA_CAN","air","ARA",4.5854246894339
"jbarl","GLA_CAN","air","YLD",3.31400255268049
"jbarl","GLA_CAN","arf","QS",250.296433928904
"jbarl","GLA_CAN","arf","ARA",75.5665846721098
"jbarl","GLA_CAN","arf","YLD",3.31226341662737
"jbarl","GLA_USA","air","QS",25.7827920472808
"jbarl","GLA_USA","air","ARA",4.59075650721758
"jbarl","GLA_USA","air","YLD",5.61624037492409
"jbarl","GLA_USA","arf","QS",44.9509285847205
"jbarl","GLA_USA","arf","ARA",14.1663080093688
"jbarl","GLA_USA","arf","YLD",3.17308705662708
"jbarl","GOD_IND","air","QS",28.1651065105859
"jbarl","GOD_IND","air","ARA",8.81392921275855
"jbarl","GOD_IND","air","YLD",3.19552220476376
"jbarl","GOD_IND","arf","QS",7.27262291612408
"jbarl","GOD_IND","arf","ARA",3.37144285336207
"jbarl","GOD_IND","arf","YLD",2.15712477785933
"jbarl","GRC_GRC","air","QS",116.223820061658
"jbarl","GRC_GRC","air","ARA",26.06231394907
"jbarl","GRC_GRC","air","YLD",4.45945898314241
"jbarl","GRC_GRC","arf","QS",234.536696850271
"jbarl","GRC_GRC","arf","ARA",96.1210204015159
"jbarl","GRC_GRC","arf","YLD",2.44001463853137
"jbarl","GTM_GTM","air","QS",2.8225315703444E-5
"jbarl","GTM_GTM","air","ARA",1.24477698087856E-5
"jbarl","GTM_GTM","air","YLD",2.26749981217702
"jbarl","GTM_GTM","arf","QS",0.0181117740460113
"jbarl","GTM_GTM","arf","ARA",0.00798755261017083
"jbarl","GTM_GTM","arf","YLD",2.26749981251441
"jbarl","HAI_CHM","air","QS",20.0272329262013
"jbarl","HAI_CHM","air","ARA",4.37147502971594
"jbarl","HAI_CHM","air","YLD",4.5813444638394
"jbarl","HAI_CHM","arf","QS",26.3774340115227
"jbarl","HAI_CHM","arf","ARA",7.18529900242774
"jbarl","HAI_CHM","arf","YLD",3.67102802578019
"jbarl","HOA_ETH","air","QS",18.9650285223796
"jbarl","HOA_ETH","air","ARA",6.63363967337104
"jbarl","HOA_ETH","air","YLD",2.85891749570143
"jbarl","HOA_ETH","arf","QS",1316.52694723315
"jbarl","HOA_ETH","arf","ARA",492.09296455433
"jbarl","HOA_ETH","arf","YLD",2.67536226295265
"jbarl","HOA_KEN","air","QS",0.0483386570695387
