"JJJ","CTY","RIQ","Val"
"jbeef","GNB","YLD",0.115999951498893
"jbeef","GNQ","QS",0.0484566663705358
"jbeef","GNQ","QD",0.0484566663705358
"jbeef","GNQ","QF",0.0484566663705358
"jbeef","GNQ","ARA",0.440333336591721
"jbeef","GNQ","YLD",0.110045418649429
"jbeef","GRC","QS",34.4446728645932
"jbeef","GRC","QD",152.64036199357
"jbeef","GRC","QF",152.64036199357
"jbeef","GRC","QM",118.195689128977
"jbeef","GRC","QN",-118.195689128977
"jbeef","GRC","ARA",144.239995320638
"jbeef","GRC","YLD",0.238801123003536
"jbeef","GSA","QS",4.34979340114437
"jbeef","GSA","QD",6.33329785400736
"jbeef","GSA","QF",6.33329785400736
"jbeef","GSA","QM",1.983504452863
"jbeef","GSA","QN",-1.983504452863
"jbeef","GSA","ARA",20.4473333358765
"jbeef","GSA","YLD",0.212731573828863
"jbeef","GTM","QS",223.418667212049
"jbeef","GTM","QD",215.300722063345
"jbeef","GTM","QF",204.967716832226
"jbeef","GTM","QOth",10.3330052311196
"jbeef","GTM","QE",8.11794514870357
"jbeef","GTM","QN",8.11794514870357
"jbeef","GTM","ARA",1136.5566813151
"jbeef","GTM","YLD",0.196575033067011
"jbeef","HND","QS",65.6699051177476
"jbeef","HND","QD",64.6635260984037
"jbeef","HND","QF",64.6635260984037
"jbeef","HND","QE",1.00637901934386
"jbeef","HND","QN",1.00637901934386
"jbeef","HND","ARA",343.148996988932
"jbeef","HND","YLD",0.191374317552983
"jbeef","HRV","QS",42.595021776715
"jbeef","HRV","QD",53.6639855419391
"jbeef","HRV","QF",53.6639855419391
"jbeef","HRV","QM",11.0689637652241
"jbeef","HRV","QN",-11.0689637652241
"jbeef","HRV","ARA",167.683329264323
"jbeef","HRV","YLD",0.254020611134048
"jbeef","HTI","QS",50.1076697048902
"jbeef","HTI","QD",49.3315781500629
"jbeef","HTI","QF",49.3315781500629
"jbeef","HTI","QE",0.776091554827281
"jbeef","HTI","QN",0.776091554827281
"jbeef","HTI","ARA",314.924326578776
"jbeef","HTI","YLD",0.159110190848836
"jbeef","HUN","QS",28.7108146133738
"jbeef","HUN","QD",56.3303024111233
"jbeef","HUN","QF",55.3303063656366
"jbeef","HUN","QW",0.999996045486772
"jbeef","HUN","QM",27.6194877977496
"jbeef","HUN","QN",-27.6194877977496
"jbeef","HUN","ARA",110.183334350586
"jbeef","HUN","YLD",0.260573114642007
"jbeef","IDN","QS",499.802679073915
"jbeef","IDN","QD",769.130215788806
"jbeef","IDN","QF",769.130215788806
"jbeef","IDN","QM",269.327536714891
"jbeef","IDN","QN",-269.327536714891
"jbeef","IDN","ARA",1766.05433654785
"jbeef","IDN","YLD",0.283005267012843
"jbeef","IND","QS",4115.93921216763
"jbeef","IND","QD",3027.84878898009
"jbeef","IND","QF",3027.84878898009
"jbeef","IND","QE",1073.52259111745
"jbeef","IND","QN",1073.52259111745
"jbeef","IND","QST",14.5678320700831
"jbeef","IND","ARA",11701.7021484375
"jbeef","IND","YLD",0.351738504360856
"jbeef","IRL","QS",616.852376784093
"jbeef","IRL","QD",121.31917402684
"jbeef","IRL","QF",112.319528480446
"jbeef","IRL","QOth",8.99964554639381
"jbeef","IRL","QE",495.533202757252
"jbeef","IRL","QN",495.533202757252
"jbeef","IRL","ARA",1861.89001464844
"jbeef","IRL","YLD",0.33130441214626
"jbeef","IRN","QS",299.252939410515
"jbeef","IRN","QD",345.573136959042
"jbeef","IRN","QF",342.573165625549
"jbeef","IRN","QW",2.99997133349304
"jbeef","IRN","QM",46.320197548527
"jbeef","IRN","QN",-46.320197548527
"jbeef","IRN","ARA",1418.88868649801
"jbeef","IRN","YLD",0.210906565298726
"jbeef","IRQ","QS",40.3697953237815
