"C","J","CTY","Val"
"csfnt","jsfoln","MDA",-0.5
"csfnt","jsfoln","MEX",-0.5
"csfnt","jsfoln","MMR",-0.5
"csfnt","jsfoln","MOR",-0.5
"csfnt","jsfoln","MOZ",-0.5
"csfnt","jsfoln","MWI",-0.5
"csfnt","jsfoln","OBN",-0.5
"csfnt","jsfoln","PAK",-0.5
"csfnt","jsfoln","POL",-0.5
"csfnt","jsfoln","PRT",-0.5
"csfnt","jsfoln","PRY",-0.5
"csfnt","jsfoln","ROU",-0.5
"csfnt","jsfoln","RUS",-0.5
"csfnt","jsfoln","SDN",-0.5
"csfnt","jsfoln","SPP",-0.5
"csfnt","jsfoln","SVK",-0.5
"csfnt","jsfoln","SYR",-0.5
"csfnt","jsfoln","THA",-0.5
"csfnt","jsfoln","TJK",-0.5
"csfnt","jsfoln","TUN",-0.5
"csfnt","jsfoln","TUR",-0.5
"csfnt","jsfoln","TZA",-0.5
"csfnt","jsfoln","UGA",-0.5
"csfnt","jsfoln","UKR",-0.5
"csfnt","jsfoln","URY",-0.5
"csfnt","jsfoln","USA",-0.5
"csfnt","jsfoln","UZB",-0.5
"csfnt","jsfoln","VEN",-0.5
"csfnt","jsfoln","ZAF",-0.5
"csfnt","jsfoln","ZMB",-0.5
"csfnt","jsfoln","ZWE",-0.5
"cpalm","jplol","AGO",-0.5
"cpalm","jplol","BDI",-0.5
"cpalm","jplol","BEN",-0.5
"cpalm","jplol","BRA",-0.5
"cpalm","jplol","CHM",-0.5
"cpalm","jplol","CIV",-0.5
"cpalm","jplol","CMR",-0.5
"cpalm","jplol","COD",-0.5
"cpalm","jplol","COG",-0.5
"cpalm","jplol","COL",-0.5
"cpalm","jplol","CRI",-0.5
"cpalm","jplol","DOM",-0.5
"cpalm","jplol","ECU",-0.5
"cpalm","jplol","GHA",-0.5
"cpalm","jplol","GIN",-0.5
"cpalm","jplol","GTM",-0.5
"cpalm","jplol","HND",-0.5
"cpalm","jplol","IDN",-0.5
"cpalm","jplol","KHM",-0.5
"cpalm","jplol","LBR",-0.5
"cpalm","jplol","MEX",-0.5
"cpalm","jplol","MYS",-0.5
"cpalm","jplol","NGA",-0.5
"cpalm","jplol","NIC",-0.5
"cpalm","jplol","PAN",-0.5
"cpalm","jplol","PER",-0.5
"cpalm","jplol","PHL",-0.5
"cpalm","jplol","PNG",-0.5
"cpalm","jplol","SEN",-0.5
"cpalm","jplol","SLB",-0.5
"cpalm","jplol","SLE",-0.5
"cpalm","jplol","TGO",-0.5
"cpalm","jplol","THA",-0.5
"cpalm","jplol","TZA",-0.5
"cpalm","jplol","VEN",-0.5
"ctols","jtoolt","AFG",-0.5
"ctols","jtoolt","ARG",-0.5
"ctols","jtoolt","AUS",-0.5
"ctols","jtoolt","AUT",-0.5
"ctols","jtoolt","AZE",-0.5
"ctols","jtoolt","BEN",-0.5
"ctols","jtoolt","BGR",-0.5
"ctols","jtoolt","BLR",-0.5
"ctols","jtoolt","BLX",-0.5
"ctols","jtoolt","BRA",-0.5
"ctols","jtoolt","CAF",-0.5
